的	的 的话 的确
雕	雕 雕塑 雕刻 雕像
检	检 检查 检验 检讨 检举 检测
俗	俗 俗称 俗话说
俱	俱 俱乐部
摔	摔 摔倒
屏	屏 屏幕 屏上
麦	麦 麦子 麦加
闯	闯 闯进
予	予 予以
矿	矿 矿产 矿物 矿山 矿石 矿物质
恒	恒 恒星 恒定
呜	呜 呜呜
疲	疲 疲劳 疲倦 疲乏 疲惫
迈	迈 迈进 迈出
详	详 详细 详尽
巡	巡 巡视 巡逻 巡捕
滋	滋 滋味 滋润
婴	婴 婴儿
录	录 录音机 录取 录用
冠	冠 冠军
枝	枝 枝条 枝叶 枝上 枝头
翅	翅 翅膀
昆	昆 昆虫 昆明
矛	矛 矛盾 矛头
瘦	瘦 瘦弱
编	编 编制 编辑 编写 编成 编码
贪	贪 贪婪 贪污
繁	繁 繁殖 繁荣 繁多 繁重 繁华
绵	绵 绵羊
乾	乾 乾隆
拨	拨 拨款 拨乱反正
慈	慈 慈爱 慈祥 慈禧
咕	咕 咕咕
铃	铃 铃声
冯	冯 冯涛 冯玉祥 冯俭
允	允 允许
樱	樱 樱桃
愈	愈 愈来愈 愈加
宾	宾 宾馆 宾语 宾客
掏	掏 掏出
措	措 措施
农	农 农业 农民 农村 农产品 农场
糟	糟 糟糕 糟粕
捉	捉 捉住 捉摸
祝	祝 祝贺 祝福 祝月
咯	咯 咯咯
扮	扮 扮演
羊	羊 羊毛 羊群
驱	驱 驱逐 驱使
恰	恰 恰当 恰好 恰恰 恰巧 恰恰相反
梯	梯 梯度 梯形 梯田
裁	裁 裁判
咽	咽 咽喉
夕	夕 夕阳
幅	幅 幅度
扇	扇 扇子
崩	崩 崩溃
县	县 县委 县城 县长 县里 县政府
健	健 健康 健全 健壮 健美
箱	箱 箱子
恍	恍 恍然大悟 恍惚
捕	捕 捕捉 捕鱼 捕捞 捕食 捕获
育	育 育种 育苗
猴	猴 猴子
遮	遮 遮住
泡	泡 泡沫
扣	扣 扣除
溃	溃 溃疡
娃	娃 娃娃
评	评 评价 评论 评为 评选 评定
献	献 献身 献给 献出
涂	涂 涂上
序	序 序列
铜	铜 铜鼓
饮	饮 饮食 饮酒 饮水 饮料
灾	灾 灾难 灾害 灾区
湿	湿 湿润 湿度 湿热
冬	冬 冬季 冬天
贫	贫 贫困 贫农 贫下中农 贫穷 贫苦
汹	汹 汹涌
党	党 党委 党员 党中央 党支部 党内
棒	棒 棒槌
贯	贯 贯彻 贯穿 贯串
串	串 串联
丛	丛 丛林
棍	棍 棍子
嫁	嫁 嫁给 嫁接
肥	肥 肥料 肥沃 肥皂 肥大 肥力
穆	穆 穆斯林
挖	挖 挖掘
跌	跌 跌落
丑	丑 丑恶
赚	赚 赚钱
披	披 披上
漆	漆 漆黑
贺	贺 贺龙 贺诚
喉	喉 喉咙 喉头
酸	酸 酸性 酸碱
卧	卧 卧室
凄	凄 凄凉 凄惨
割	割 割据 割裂 割断
违	违 违反 违背 违法
裸	裸 裸露 裸体
井	井 井冈山
涨	涨 涨落 涨价
沐	沐 沐浴
仓	仓 仓库
宴	宴 宴会
饿	饿 饿死
鞭	鞭 鞭子 鞭炮 鞭策
瓜	瓜 瓜分
骚	骚 骚动
匪	匪 匪徒
耻	耻 耻辱
妄	妄 妄图 妄想
宛	宛 宛如
裤	裤 裤子
妥	妥 妥协 妥善 妥当
吵	吵 吵架 吵闹
驰	驰 驰骋
审	审 审美 审判 审查 审理 审批
款	款 款式
桥	桥 桥梁 桥头
诧	诧 诧异
搬	搬 搬到 搬家 搬运 搬来
仆	仆 仆人
漏	漏 漏斗
彭	彭 彭湃
灌	灌 灌溉 灌木 灌输
桃	桃 桃花 桃子
黎	黎 黎明 黎小玲
饱	饱 饱和 饱满
抑	抑 抑制 抑郁
辣	辣 辣椒
纠	纠 纠正 纠纷 纠缠
签	签 签订 签字
购	购 购买 购买力 购销 购置 购进
愚	愚 愚昧 愚蠢
勤	勤 勤劳 勤奋 勤工俭学
誉	誉 誉为
鄙	鄙 鄙视
珊	珊 珊瑚
呈	呈 呈现
培	培 培养 培育 培训 培植 培养基
牲	牲 牲口 牲畜
障	障 障碍 障碍物
锦	锦 锦标赛
瞳	瞳 瞳孔
析	析 析出
脾	脾 脾气
蓦	蓦 蓦地
嘲	嘲 嘲笑 嘲讽
毅	毅 毅然 毅力
僧	僧 僧侣
寺	寺 寺院
邀	邀 邀请 邀请赛
企	企 企业 企图 企业家
蜜	蜜 蜜蜂
骤	骤 骤然
频	频 频率 频繁 频频
挨	挨 挨打 挨着
蒋	蒋 蒋介石 蒋经国
植	植 植物 植株 植物体 植被 植树
厂	厂 厂长 厂里 厂房 厂家 厂矿
歪	歪 歪曲
拟	拟 拟定
丘	丘 丘陵
晋	晋 晋升
艰	艰 艰苦 艰难 艰巨 艰苦奋斗 艰辛
竞	竞 竞争 竞赛 竞选 竞技
涉	涉 涉及
谨	谨 谨慎
荷	荷 荷兰 荷花
跨	跨 跨进 跨过
舱	舱 舱里
颠	颠 颠倒 颠簸 颠覆
盒	盒 盒子
骄	骄 骄傲
柜	柜 柜台 柜子
摧	摧 摧毁 摧残
幼	幼 幼虫 幼儿 幼苗 幼年 幼儿园
谅	谅 谅解
哑	哑 哑剧
宰	宰 宰相
乳	乳 乳房 乳头 乳汁 乳白色
陌	陌 陌生 陌生人
竖	竖 竖起 竖直
销	销 销售 销售额 销路 销售量 销货
叮	叮 叮嘱
访	访 访问
沾	沾 沾满
挽	挽 挽救 挽回
堵	堵 堵塞 堵住
纱	纱 纱布
枯	枯 枯燥 枯竭
腐	腐 腐朽 腐蚀 腐败 腐烂
兔	兔 兔子
哗	哗 哗哗
绳	绳 绳子 绳索
搏	搏 搏斗
颈	颈 颈部
筹	筹 筹备 筹集 筹建
逝	逝 逝世
厨	厨 厨房 厨师
辅	辅 辅助 辅导
藤	藤 藤椅
盼	盼 盼望
矩	矩 矩形
膝	膝 膝盖
胳	胳 胳膊
墓	墓 墓地
畅	畅 畅销 畅通
擅	擅 擅自 擅长
冻	冻 冻结 冻疮
摊	摊 摊开 摊子
牺	牺 牺牲
淋	淋 淋巴 淋巴结
嚷	嚷 嚷嚷
涵	涵 涵义
灿	灿 灿烂
摄	摄 摄影 摄取 摄氏度 摄氏
削	削 削弱 削减
伪	伪 伪军 伪造
儒	儒 儒家
仲	仲 仲裁
瞄	瞄 瞄准
哨	哨 哨兵
羡	羡 羡慕
掀	掀 掀起 掀开
辽	辽 辽阔 辽宁
沟	沟 沟通 沟里
汽	汽 汽车 汽油
档	档 档案
隶	隶 隶属
描	描 描写 描述 描绘
俘	俘 俘虏
哲	哲 哲学 哲学家 哲理
赔	赔 赔偿
裙	裙 裙子
寿	寿 寿命
攀	攀 攀登
杆	杆 杆菌
旺	旺 旺盛
吾	吾 吾人
篮	篮 篮子 篮球
储	储 储存 储蓄 储备 储量
鉴	鉴 鉴定 鉴别 鉴于 鉴赏
嘀	嘀 嘀咕
赋	赋 赋予
炉	炉 炉子
呻	呻 呻吟
殷	殷 殷勤
污	污 污染 污水 污染物
辩	辩 辩证 辩证法 辩证唯物主义 辩护 辩论
篇	篇 篇章 篇幅
嗓	嗓 嗓子 嗓门 嗓音
播	播 播种 播放 播出
偿	偿 偿还
冤	冤 冤枉
俄	俄 俄国 俄罗斯 俄语
罕	罕 罕见
狡	狡 狡猾
蹲	蹲 蹲下
焕	焕 焕发
渴	渴 渴望
粒	粒 粒子
惩	惩 惩罚 惩办
患	患 患者 患病 患有
谦	谦 谦虚
汪	汪 汪精卫
辨	辨 辨别 辨认 辨证
歹	歹 歹徒
蕴	蕴 蕴藏
沸	沸 沸腾 沸点
陶	陶 陶冶 陶醉 陶瓷 陶器
迁	迁 迁移 迁徙 迁到 迁就
版	版 版画
咆	咆 咆哮
潇	潇 潇洒
鳞	鳞 鳞片
玫	玫 玫瑰
邓	邓 邓小平 邓颖超
侦	侦 侦察 侦查 侦探
炽	炽 炽热
竭	竭 竭力
讽	讽 讽刺
订	订 订货 订立
驳	驳 驳斥
拐	拐 拐杖
辜	辜 辜负
兼	兼 兼顾 兼任 兼并
吱	吱 吱吱
蓬	蓬 蓬勃
坡	坡 坡度
朴	朴 朴素 朴实
胎	胎 胎儿
苗	苗 苗木 苗族 苗子
遵	遵 遵守 遵循 遵照 遵义
浸	浸 浸润 浸泡
玻	玻 玻璃 玻璃窗
疏	疏 疏松 疏忽 疏远
瞎	瞎 瞎子
豆	豆 豆腐
廉	廉 廉价
祈	祈 祈祷 祈求
灼	灼 灼热
顽	顽 顽强 顽固 顽皮 顽固派
锅	锅 锅炉 锅里
榜	榜 榜样
庙	庙 庙宇
堕	堕 堕落
耽	耽 耽误 耽心
嗡	嗡 嗡嗡
挪	挪 挪威
鞋	鞋 鞋子
柴	柴 柴油机 柴可夫斯基
蔓	蔓 蔓延
姊	姊 姊妹
妨	妨 妨碍
盆	盆 盆地 盆景
矢	矢 矢量
携	携 携带
钉	钉 钉子
萝	萝 萝卜
循	循 循环
搅	搅 搅拌
渺	渺 渺小
狭	狭 狭窄 狭义 狭隘 狭小 狭长
申	申 申请 申诉
嘱	嘱 嘱咐
拆	拆 拆开
津	津 津津有味
愉	愉 愉快
谭	谭 谭嗣同
轨	轨 轨道 轨迹
媒	媒 媒介
锻	锻 锻炼
衷	衷 衷心
渗	渗 渗透 渗出 渗入
峡	峡 峡谷
禅	禅 禅宗
租	租 租界 租赁
阅	阅 阅读
帽	帽 帽子
揭	揭 揭示 揭露 揭开 揭发
乙	乙 乙醇 乙烯 乙炔
贸	贸 贸易
革	革 革命 革新 革命家 革命者 革命军
坎	坎 坎坷
舅	舅 舅舅
垃	垃 垃圾
寄	寄 寄生 寄托 寄主 寄生虫 寄来
虐	虐 虐待
逻	逻 逻辑 逻辑思维
税	税 税收 税金 税率
嫂	嫂 嫂子 嫂嫂
填	填 填补 填写 填充
滔	滔 滔滔
衍	衍 衍射
庸	庸 庸俗
寡	寡 寡妇
昔	昔 昔日
摘	摘 摘下
售	售 售价 售货员
栽	栽 栽培 栽植
贞	贞 贞观
臀	臀 臀部
雇	雇 雇佣
朦	朦 朦胧
栏	栏 栏杆
溪	溪 溪流 溪水
剥	剥 剥削 剥削阶级 剥夺 剥削者
磁	磁 磁场 磁力 磁铁 磁性 磁带
歼	歼 歼灭
窟	窟 窟窿
枕	枕 枕头
捣	捣 捣乱
乞	乞 乞丐
琢	琢 琢磨
胃	胃 胃口 胃肠
衰	衰 衰老 衰落 衰变 衰弱 衰退
扁	扁 扁担 扁平
菩	菩 菩萨
骆	骆 骆驼
纽	纽 纽约 纽带
贡	贡 贡献
喧	喧 喧闹
衙	衙 衙门
岗	岗 岗位
剂	剂 剂量
诞	诞 诞生
淘	淘 淘汰 淘气
衬	衬 衬衫 衬衣 衬托
轿	轿 轿车
钦	钦 钦佩
嗜	嗜 嗜好
鸦	鸦 鸦片 鸦片战争
陨	陨 陨石
咖	咖 咖啡
铸	铸 铸造
姥	姥 姥姥
棺	棺 棺材
叙	叙 叙述 叙事 叙利亚
畜	畜 畜牧业 畜牧
嫉	嫉 嫉妒
蜘	蜘 蜘蛛
钥	钥 钥匙
茅	茅 茅草 茅屋 茅盾
瘫	瘫 瘫痪
菊	菊 菊花
倘	倘 倘若
趋	趋 趋势 趋向 趋于
恳	恳 恳求
粘	粘 粘膜 粘液 粘土 粘性
哆	哆 哆嗦
渠	渠 渠道
娱	娱 娱乐
履	履 履行
塑	塑 塑造 塑料 塑像
症	症 症状
衔	衔 衔接
蔑	蔑 蔑视
傀	傀 傀儡
蒸	蒸 蒸发 蒸气 蒸汽机 蒸汽 蒸腾
炫	炫 炫耀
歧	歧 歧视
渔	渔 渔业 渔民 渔船 渔场
敞	敞 敞开
柏	柏 柏拉图 柏林
猿	猿 猿人
沮	沮 沮丧
惭	惭 惭愧
菱	菱 菱形
肿	肿 肿瘤 肿大 肿胀
茂	茂 茂密 茂盛 茂林
肺	肺 肺炎
淮	淮 淮河
拘	拘 拘留 拘束
漩	漩 漩涡
沼	沼 沼泽
侮	侮 侮辱
槐	槐 槐树
屡	屡 屡次
脊	脊 脊髓 脊柱 脊椎动物
贩	贩 贩卖
芦	芦 芦苇
淹	淹 淹没
嗅	嗅 嗅觉
邻	邻 邻居 邻近
妩	妩 妩媚
厦	厦 厦门
砖	砖 砖头
挫	挫 挫折 挫伤
杏	杏 杏仙
郊	郊 郊区
喇	喇 喇叭
沦	沦 沦为
蚂	蚂 蚂蚁
铲	铲 铲除
孕	孕 孕育 孕妇
敦	敦 敦煌
盐	盐 盐酸 盐水 盐类
鞠	鞠 鞠躬
桂	桂 桂林 桂英 桂花
呕	呕 呕吐
妓	妓 妓女
债	债 债务 债券 债务人 债权
窒	窒 窒息
蝙	蝙 蝙蝠
吭	吭 吭声
镰	镰 镰刀
饥	饥 饥饿
剔	剔 剔除
熄	熄 熄灭
蝴	蝴 蝴蝶
萌	萌 萌发 萌芽
绘	绘 绘画 绘制
侥	侥 侥幸
螺	螺 螺旋
聘	聘 聘请
唾	唾 唾沫 唾液
翡	翡 翡翠
苹	苹 苹果
脂	脂 脂肪 脂肪酸
宪	宪 宪法 宪兵 宪章
膨	膨 膨胀
葫	葫 葫芦
熔	熔 熔点 熔化
筷	筷 筷子
综	综 综合 综合性 综上所述 综合利用
傍	傍 傍晚
践	践 践踏
尿	尿 尿素
棉	棉 棉花 棉袄 棉衣 棉布 棉被
媳	媳 媳妇
坟	坟 坟墓
瀑	瀑 瀑布
逮	逮 逮捕
糖	糖 糖果 糖类
稻	稻 稻谷 稻田 稻草
狩	狩 狩猎
蚕	蚕 蚕丝
澄	澄 澄清
赠	赠 赠送
秩	秩 秩序
倔	倔 倔强
卵	卵 卵巢 卵细胞
胶	胶 胶体
绚	绚 绚丽
蚊	蚊 蚊子
罐	罐 罐头
冶	冶 冶金 冶炼
杭	杭 杭州
弊	弊 弊端 弊病
凳	凳 凳子
鲨	鲨 鲨鱼
盲	盲 盲目 盲目性
锡	锡 锡伯
伽	伽 伽利略
鸭	鸭 鸭子
滥	滥 滥用
驯	驯 驯服
拯	拯 拯救
绅	绅 绅士
匈	匈 匈牙利
钓	钓 钓鱼
缴	缴 缴纳
崎	崎 崎岖
谣	谣 谣言
栖	栖 栖息
棱	棱 棱镜
肝	肝 肝脏 肝炎
殖	殖 殖民地 殖民 殖民者
纲	纲 纲领
厘	厘 厘米
闺	闺 闺女
浇	浇 浇水
匀	匀 匀速 匀称
棚	棚 棚子
厕	厕 厕所
烙	烙 烙印
溶	溶 溶液 溶解 溶于 溶剂 溶化
虔	虔 虔诚
婶	婶 婶子
蠕	蠕 蠕动
拚	拚 拚命
惋	惋 惋惜
萎	萎 萎缩
殴	殴 殴打
澳	澳 澳大利亚 澳门
腊	腊 腊梅 腊月
昼	昼 昼夜
兑	兑 兑现
诊	诊 诊断
葡	葡 葡萄 葡萄糖 葡萄牙
蜡	蜡 蜡烛
慷	慷 慷慨
噪	噪 噪音 噪声
啤	啤 啤酒
洽	洽 洽谈
谬	谬 谬论
憔	憔 憔悴
酋	酋 酋长
框	框 框架
钞	钞 钞票
褐	褐 褐色
眺	眺 眺望
疙	疙 疙瘩
函	函 函数
睫	睫 睫毛
稿	稿 稿子 稿件
徘	徘 徘徊
芭	芭 芭蕾 芭蕾舞
嘈	嘈 嘈杂
崛	崛 崛起
缔	缔 缔结
鸽	鸽 鸽子
礁	礁 礁石
庐	庐 庐山
稠	稠 稠密
饵	饵 饵料
耕	耕 耕地 耕作 耕种
隧	隧 隧道
贷	贷 贷款
颁	颁 颁布 颁发
蘑	蘑 蘑菇
扼	扼 扼杀
唠	唠 唠叨
绒	绒 绒毛
邮	邮 邮票 邮电 邮局 邮政
煽	煽 煽动
矫	矫 矫正
吆	吆 吆喝
猖	猖 猖獗 猖狂
紊	紊 紊乱
亩	亩 亩产
舆	舆 舆论
锣	锣 锣鼓
鳄	鳄 鳄鱼
篝	篝 篝火
蛤	蛤 蛤蟆
荧	荧 荧光屏 荧光
氧	氧 氧气 氧化 氧化物 氧化剂 氧化铜
贬	贬 贬值
迂	迂 迂回
勘	勘 勘探
煤	煤 煤炭 煤矿 煤油 煤气
牡	牡 牡丹 牡蛎
屹	屹 屹立
肮	肮 肮脏
棕	棕 棕色
淤	淤 淤泥
浙	浙 浙江
俨	俨 俨然
暑	暑 暑假
雌	雌 雌雄 雌蕊
硝	硝 硝酸 硝酸钾
剖	剖 剖面 剖析
蜿	蜿 蜿蜒
蝗	蝗 蝗虫
谴	谴 谴责
刊	刊 刊物 刊登
巩	巩 巩固
踌	踌 踌躇
矗	矗 矗立
崭	崭 崭新
邯	邯 邯郸
奠	奠 奠定
辫	辫 辫子
鄂	鄂 鄂温克 鄂伦春
憧	憧 憧憬
铅	铅 铅笔
杠	杠 杠杆
饲	饲 饲料 饲养 饲养员
筛	筛 筛选
粪	粪 粪便
酝	酝 酝酿
柬	柬 柬埔寨
啄	啄 啄木鸟
羔	羔 羔羊
膳	膳 膳食
缅	缅 缅甸
乒	乒 乒乓球
榨	榨 榨取
辐	辐 辐射
螳	螳 螳螂
藻	藻 藻类
袜	袜 袜子
橡	橡 橡胶 橡皮
馒	馒 馒头
纬	纬 纬度
陕	陕 陕西 陕北
嫦	嫦 嫦娥
耷	耷 耷拉
琵	琵 琵琶
咀	咀 咀嚼
磷	磷 磷酸
孵	孵 孵化
濒	濒 濒临
诬	诬 诬蔑
阐	阐 阐述 阐明
辗	辗 辗转
锄	锄 锄头
颌	颌 颌骨
譬	譬 譬如 譬如说
烹	烹 烹调
炊	炊 炊事员
汲	汲 汲取
垄	垄 垄断 垄断资本
渲	渲 渲染
鲤	鲤 鲤鱼
螃	螃 螃蟹
渤	渤 渤海
碳	碳 碳酸钠 碳水化合物 碳酸钙
腼	腼 腼腆
椭	椭 椭圆形 椭圆
硫	硫 硫酸 硫酸铜
痉	痉 痉挛
蜻	蜻 蜻蜓
蔬	蔬 蔬菜
炕	炕 炕上
撰	撰 撰写
贮	贮 贮存 贮藏
咨	咨 咨询
倡	倡 倡导
淀	淀 淀粉
糯	糯 糯米
肾	肾 肾脏
纺	纺 纺织
胚	胚 胚胎
蚯	蚯 蚯蚓
榆	榆 榆树
惰	惰 惰性
柿	柿 柿子
摒	摒 摒弃
癌	癌 癌症
玳	玳 玳瑁
湍	湍 湍流
迄	迄 迄今
蜗	蜗 蜗牛
碉	碉 碉堡
抒	抒 抒情 抒发
侗	侗 侗族
摹	摹 摹仿
攫	攫 攫取
畸	畸 畸形
氢	氢 氢气 氢氧化钠 氢原子
哺	哺 哺乳动物 哺乳 哺育
僮	僮 僮族
荔	荔 荔枝
竣	竣 竣工
焊	焊 焊接
踊	踊 踊跃
砧	砧 砧木
抨	抨 抨击
碱	碱 碱性
氮	氮 氮气 氮肥
蝌	蝌 蝌蚪
肛	肛 肛门
孢	孢 孢子
诙	诙 诙谐
蔗	蔗 蔗糖
蟋	蟋 蟋蟀
耦	耦 耦合
鲫	鲫 鲫鱼
柑	柑 柑桔
缦	缦 缦杰
畲	畲 畲族
氯	氯 氯气 氯化钠 氯酸钾
傣	傣 傣族
疟	疟 疟疾
豌	豌 豌豆
氨	氨 氨基酸 氨水
缫	缫 缫丝
捍	捍 捍卫
著	著 著名 著作 著称 著述
